Transaction_ID,Customer_ID,Store_ID,Transaction_Date,Transaction_Amount,Product_Category
722649,9117,86,2024-01-09 11:39:55.086438,478.4,Clothing
377522,7876,41,2023-04-18 22:31:52.277174,407.49,Home & Kitchen
644303,1670,10,2023-11-12 00:18:55.338103,432.05,Home & Kitchen
790995,8504,99,2023-11-20 22:11:59.421652,662.98,Clothing
730358,3923,9,2023-03-17 21:28:43.889433,806.83,Electronics
496595,2856,5,2023-11-07 20:33:45.907269,882.38,Clothing
528054,4560,60,2023-06-22 00:19:01.819874,663.58,Electronics
238137,4227,60,2023-09-22 07:54:05.765597,162.68,Clothing
219031,8316,100,2024-02-20 23:47:48.739317,662.68,Grocery
821611,2012,9,2023-12-05 19:08:04.062564,853.1,Electronics
175825,3093,64,2023-05-28 02:00:05.539261,781.94,Grocery
557706,2068,100,2023-05-08 22:16:35.336198,378.82,Home & Kitchen
262000,8802,74,2024-02-22 05:01:16.959989,714.18,Electronics
656778,8417,5,2023-10-28 03:25:10.200594,808.02,Grocery
760349,8625,86,2024-01-27 02:22:17.372149,423.87,Grocery
520653,7227,71,2024-01-19 21:43:22.127693,183.66,Clothing
869345,3446,99,2023-10-10 11:28:39.620620,135.01,Electronics
517335,7923,60,2023-03-06 04:02:42.817893,937.05,Grocery
236625,7154,41,2023-03-07 15:31:11.019181,784.17,Home & Kitchen
951461,8660,86,2023-06-20 22:06:19.650851,19.84,Clothing
200781,1102,47,2023-12-05 23:41:29.736438,358.31,Grocery
711682,8402,74,2023-10-30 03:10:29.731800,844.49,Electronics
631749,9679,5,2023-04-17 02:41:06.150683,73.37,Home & Kitchen
155134,7466,43,2023-06-19 09:17:49.761469,830.43,Grocery
840023,7612,43,2023-07-26 02:43:19.897850,587.92,Electronics
180972,8034,41,2023-12-31 14:52:17.876033,75.53,Grocery
723494,4229,85,2023-06-13 23:00:42.827677,549.41,Grocery
544928,7360,88,2023-08-30 17:16:50.975392,119.25,Clothing
869310,7674,64,2024-02-03 18:20:26.968832,762.16,Electronics
710218,5024,41,2023-09-06 08:03:22.197004,842.4,Electronics
938497,1360,59,2024-02-03 12:06:42.024262,545.27,Clothing
855009,6050,76,2023-04-19 23:17:10.369653,936.16,Electronics
402593,8417,88,2023-10-07 09:09:20.912077,372.79,Home & Kitchen
760571,1982,44,2023-12-30 18:40:06.675963,308.85,Clothing
307866,8456,72,2023-09-18 01:22:57.976410,998.44,Grocery
386794,8367,19,2023-03-01 07:37:14.453463,318.55,Electronics
760923,9607,2,2023-06-27 00:08:23.794632,318.04,Home & Kitchen
136815,4540,22,2023-07-23 14:33:06.653192,528.45,Clothing
498242,7764,9,2023-10-03 03:08:08.934294,708.17,Clothing
994492,7996,29,2023-08-25 04:10:51.550062,40.32,Clothing
362855,2043,44,2023-09-08 09:46:59.590273,930.86,Grocery
148990,8262,75,2023-04-11 03:26:18.359293,612.66,Clothing
759817,3828,43,2023-10-27 15:55:23.748350,378.75,Clothing
532171,6486,94,2023-10-13 04:37:09.263988,64.37,Grocery
421267,9679,47,2023-05-24 14:12:36.007246,591.51,Clothing
751842,3894,8,2023-12-12 03:30:41.936441,429.59,Grocery
354352,5344,72,2023-09-30 22:13:09.030289,509.0,Grocery
437957,8566,14,2023-11-23 05:50:26.021056,244.54,Clothing
453744,5009,10,2023-11-15 05:29:12.797189,391.4,Electronics
108864,1818,88,2023-08-26 06:40:08.417175,570.32,Home & Kitchen
108378,9860,45,2023-11-15 09:03:21.047886,69.58,Home & Kitchen
702523,7207,94,2023-10-24 16:18:46.919819,874.59,Home & Kitchen
908342,3793,76,2023-12-25 08:23:48.032877,172.91,Home & Kitchen
456454,3256,84,2023-04-28 11:39:43.570400,283.84,Clothing
765599,2839,55,2023-08-02 19:18:14.654668,553.02,Home & Kitchen
188230,7441,3,2023-05-02 02:40:19.246986,911.41,Home & Kitchen
664244,5487,9,2023-06-14 09:11:08.276034,919.39,Home & Kitchen
406635,1651,82,2023-07-18 21:16:48.790167,290.31,Home & Kitchen
264182,7930,3,2023-07-02 23:47:32.334921,958.91,Grocery
274543,4373,21,2023-03-16 14:59:12.192435,973.85,Clothing
872689,5517,80,2024-02-21 04:09:18.214575,413.53,Grocery
764937,5781,74,2023-03-02 17:43:17.370829,322.56,Electronics
976559,2519,80,2023-12-28 02:32:35.911263,277.88,Home & Kitchen
490913,8359,9,2023-04-28 02:13:37.282487,959.84,Grocery
735878,2740,2,2024-01-24 16:24:23.019174,162.46,Electronics
915580,3995,10,2024-02-03 08:25:47.899171,43.62,Home & Kitchen
353130,1899,10,2023-11-27 21:20:55.835060,808.38,Grocery
873307,8399,99,2023-12-05 09:22:41.933367,149.52,Electronics
500027,9004,99,2024-01-09 04:07:36.209853,906.29,Clothing
654705,8164,80,2023-10-22 07:20:19.691570,482.23,Home & Kitchen
822814,2973,2,2023-03-29 19:36:34.203933,493.63,Grocery
569735,9172,80,2023-04-14 00:16:12.365081,515.64,Home & Kitchen
466007,7138,84,2023-06-10 16:41:01.906128,28.56,Grocery
238390,6050,47,2023-08-12 17:01:52.559092,698.42,Home & Kitchen
801513,9124,28,2023-05-26 09:19:48.020693,669.63,Home & Kitchen
444778,4207,2,2024-01-16 17:37:34.954899,155.5,Clothing
604669,3989,41,2023-10-02 14:21:37.368554,981.44,Electronics
553553,4552,55,2023-12-21 01:18:46.655571,275.86,Grocery
871010,5384,76,2023-05-22 13:30:04.470878,220.46,Electronics
869407,1670,19,2024-01-30 16:04:30.735947,426.19,Clothing
426896,5024,69,2024-01-06 09:43:14.730506,672.72,Electronics
835707,1752,13,2023-10-20 14:30:50.806710,910.39,Clothing
142292,4223,75,2023-11-07 18:29:09.609334,93.62,Electronics
